transaction_id,customer_id,date,amount,counterparty_country,transaction_type,customer_risk_profile
TXN0044,CUST009,2026-06-06 05:00,320.66,Zimbabwe,cash_deposit,Low
TXN0045,CUST015,2026-07-07 07:00,2336.73,Zimbabwe,online_transfer,Low
TXN0046,CUST011,2026-07-08 18:00,2114.99,Botswana,cash_deposit,Medium
TXN0047,CUST006,2026-06-16 08:00,1613.35,Botswana,cheque,Low
TXN0048,CUST013,2026-07-30 02:00,86.8,USA,online_transfer,High
TXN0049,CUST002,2026-07-05 06:00,2048.24,South Africa,mobile_money,Medium
TXN0050,CUST015,2026-06-16 11:00,1175.7,UK,online_transfer,Medium
TXN0051,CUST010,2026-07-22 20:00,2139.32,USA,mobile_money,High
TXN0052,CUST002,2026-07-31 04:00,1094.64,Zimbabwe,online_transfer,Low
TXN0053,CUST005,2026-07-09 06:00,2884.57,South Africa,mobile_money,Low
TXN0054,CUST005,2026-07-28 01:00,414.58,UK,mobile_money,Low
TXN0055,CUST006,2026-07-20 04:00,2566.6,Botswana,cash_deposit,Medium
TXN0056,CUST009,2026-07-16 13:00,2265.58,Zimbabwe,wire_transfer,High
TXN0057,CUST012,2026-07-28 04:00,2205.08,Botswana,online_transfer,Low
TXN0058,CUST007,2026-06-09 01:00,1267.62,Zimbabwe,mobile_money,Low
TXN0059,CUST004,2026-07-13 03:00,1447.03,USA,cheque,High
TXN0060,CUST012,2026-06-10 07:00,3465.19,South Africa,cheque,Low
TXN0061,CUST005,2026-06-21 00:00,9641.94,Zimbabwe,cash_deposit,Medium
TXN0062,CUST005,2026-06-22 00:00,9399.31,Zimbabwe,cash_deposit,Medium
TXN0063,CUST005,2026-06-23 00:00,9758.49,Zimbabwe,cash_deposit,Medium
TXN0064,CUST005,2026-06-24 00:00,9681.34,Zimbabwe,cash_deposit,Medium
TXN0065,CUST009,2026-07-01 00:00,15000.0,Iran,wire_transfer,High
TXN0066,CUST012,2026-07-06 00:00,22000.0,Myanmar,wire_transfer,Medium
TXN0067,CUST002,2026-07-11 00:00,2728.13,South Africa,mobile_money,Low
TXN0068,CUST002,2026-07-11 03:00,2621.5,South Africa,mobile_money,Low
TXN0069,CUST002,2026-07-11 06:00,1533.61,South Africa,mobile_money,Low
TXN0070,CUST002,2026-07-11 09:00,2574.75,South Africa,mobile_money,Low
TXN0071,CUST007,2026-07-16 00:00,20000.0,UAE,wire_transfer,Low
TXN0072,CUST003,2026-06-01 00:00,121.62,Zimbabwe,mobile_money,Low
TXN0073,CUST003,2026-06-03 00:00,274.43,Zimbabwe,mobile_money,Low
TXN0074,CUST003,2026-06-05 00:00,271.72,Zimbabwe,mobile_money,Low
TXN0075,CUST003,2026-06-07 00:00,144.49,Zimbabwe,mobile_money,Low
TXN0076,CUST003,2026-06-09 00:00,263.32,Zimbabwe,mobile_money,Low
TXN0077,CUST003,2026-07-26 00:00,8000.0,Zimbabwe,wire_transfer,Low
